Symbol,Company Name,Industry,Market Cap
BVXV,BiondVax Pharmaceuticals,Pharmaceuticals,22630831
BW,Babcock & Wilcox Enterprises,Electrical Equipment,626812413
BWA,BorgWarner,Auto Components,8782819316
BWAC,Better World Acquisition,Blank Check / SPAC,108764392
BWAQ,Blue World Acquisition,Blank Check / SPAC,118927120
BWAY,Brainsway,Health Care Equipment & Supplies,99333612
BWB,Bridgewater Bancshares,Thrifts & Mortgage Finance,473903292
BWC,Blue Whale Acquisition I,Blank Check / SPAC,247251050
BWEN,Broadwind,Electrical Equipment,29551557
BWFG,Bankwell Financial Group,Banks,246415242
BWMN,Bowman Consulting Group,Consulting Services,163783397
BWMX,Betterware de Mexico,Internet & Direct Marketing Retail,373164990
BWV,Blue Water Vaccines,Biotechnology,23245866
BWXT,BWX Technologies,Aerospace & Defense,5008308191
BX,Blackstone,Capital Markets,1.17642E+11
BXC,BlueLinx Holdings,Trading Companies & Distributors,718455570
BXMT,Blackstone Mortgage Trust,Mortgage Real Estate Investment Trust...,5038763006
BXP,Boston Properties,Equity Real Estate Investment Trusts ...,13972442098
BXRX,Baudax Bio,Biotechnology,4701459
BY,Byline Bancorp,Banks,917362289
BYD,Boyd Gaming,"Hotels, Restaurants & Leisure",6049036800
BYFC,Broadway Financial,Thrifts & Mortgage Finance,70534631
BYN,Banyan Acquisition,Blank Check / SPAC,269460000
BYND,Beyond Meat,Food Products,2124857722
BYNO,byNordic Acquisition,Blank Check / SPAC,207666000
BYRN,Byrna Technologies,Aerospace & Defense,177003343
BYSI,BeyondSpring,Biotechnology,52164727
BYTS,BYTE Acquisition,Blank Check / SPAC,408899708
BZ,Kanzhun,Staffing & Employment Services,10499571696
BZFD,BuzzFeed,Internet Content & Information,242475166
BZH,Beazer Homes USA,Household Durables,463999614
BZUN,Baozun,Internet & Direct Marketing Retail,690177467
C,Citigroup,Banks,1.01018E+11
CAAP,Corporacion America Airports,Transportation Infrastructure,856920765
CAAS,China Automotive Systems,Auto Components,87002070
CABA,Cabaletta Bio,Biotechnology,38249772
CABO,Cable One,Media,8542780647
CAC,Camden National,Banks,674052435
CACC,Credit Acceptance,Consumer Finance,7246489400
CACI,CACI International,IT Services,6818480621
CADE,Cadence Bank,Banks,4508963820
CADL,Candel Therapeutics,Biotechnology,93539832
CAE,CAE Inc.,Aerospace & Defense,8321962495
CAG,Conagra Brands,Food Products,16260715498
CAH,Cardinal Health,Health Care Providers & Services,15604618216
CAJ,Canon,"Technology Hardware, Storage & Periph...",24613920766
CAKE,The Cheesecake Factory,"Hotels, Restaurants & Leisure",1479074928
CAL,Caleres,Specialty Retail,987871348
CALA,Calithera Biosciences,Biotechnology,15460714
CALB,California BanCorp,Banks,166249968
CALM,Cal-Maine Foods,Food Products,2782210518
CALT,Calliditas Therapeutics AB,Biotechnology,526931772
CALX,Calix,Communications Equipment,2863594976
CAMP,CalAmp,Communications Equipment,161624011
CAMT,Camtek,Semiconductors & Semiconductor Equipment,1261598846
CAN,Canaan,"Technology Hardware, Storage & Periph...",738424893
CANF,Can-Fite BioPharma,Biotechnology,23112775
CANG,Cango,Internet & Direct Marketing Retail,363493533
CANO,Cano Health,Diversified Financial Services,3076384506
CAPL,CrossAmerica Partners LP,"Oil, Gas & Consumable Fuels",810573483
CAPR,Capricor Therapeutics,Biotechnology,111161598
CAR,Avis Budget Group,Road & Rail,7731279763
CARA,Cara Therapeutics,Pharmaceuticals,485536281
CARE,Carter Bankshares,Banks,341879966
CARG,Cargurus,Interactive Media & Services,2797390077
CARR,Carrier Global,Building Products,32428290016
CARS,Cars.com,Interactive Media & Services,755378040
CARV,Carver Bancorp,Thrifts & Mortgage Finance,24083421
CASA,Casa Systems,Communications Equipment,397440414
CASH,Meta Financial Group,Thrifts & Mortgage Finance,1237734750
CASI,CASI Pharmaceuticals,Biotechnology,36600406
CASS,Cass Information Systems,IT Services,495187056
CASY,Casey's General Stores,Food & Staples Retailing,7408985021
CAT,Caterpillar,Machinery,96972726212
CATC,Cambridge Bancorp,Banks,579723372
CATO,The Cato Corporation,Specialty Retail,271155903
CATY,Cathay General Bancorp,Banks,3119480318
CB,Chubb,Insurance,79322939305
CBAN,Colony Bankcorp,Banks,247966830
CBAT,CBAK Energy Technology,Electrical Equipment,104989551
CBAY,CymaBay Therapeutics,Pharmaceuticals,265888621
CBD,Companhia Brasileira de Distribuicao,Food & Staples Retailing,797463360
CBFV,CB Financial Services,Banks,118763027
CBIO,Catalyst Biosciences,Biotechnology,55399696
CBL,CBL Properties,REIT-Retail,907022842
CBNK,Capital Bancorp,Banks,326437660
CBOE,Cboe Global Markets,Capital Markets,13294116753
CBRE,CBRE Group,Real Estate Management & Development,27073896381
CBRG,Chain Bridge I,Blank Check / SPAC,287068730
CBRL,Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",2084473150
CBSH,Commerce Bancshares,Banks,8301482487
CBT,Cabot,Chemicals,4022593993
CBTX,"CBTX, Inc.",Banks,710383852
CBU,Community Bank System,Banks,3561827026
CBZ,"CBIZ, Inc.",Professional Services,2229864677
CC,The Chemours Company,Chemicals,5315484665
CCAI,Cascadia Acquisition,Blank Check / SPAC,184312490
CCAP,Crescent Capital BDC,Asset Management,500993595
CCB,Coastal Financial,Banks,502921552
CCBG,Capital City Bank Group,Banks,542323200
CCCC,C4 Therapeutics,Biotechnology,480164448
CCCS,CCC Intelligent Solutions Holdings,Software-Infrastructure,5999667200
CCEL,Cryo-Cell International,Health Care Providers & Services,49490905
CCEP,Coca-Cola Europacific Partners,Beverages,24008830943
CCF,Chase,Chemicals,886828139
CCI,Crown Castle International,Equity Real Estate Investment Trusts ...,74264985599
CCJ,Cameco,"Oil, Gas & Consumable Fuels",9163174889
CCK,Crown Holdings,Containers & Packaging,11759401917
CCL,Carnival,"Hotels, Restaurants & Leisure",10836989944
CCLP,CSI Compressco LP,Energy Equipment & Services,179341774
CCM,Concord Medical Services Holding,Health Care Providers & Services,84663543
CCNC,Code Chain New Continent,Electronic Gaming & Multimedia,14146425
CCNE,CNB Financial,Banks,428571032
CCO,Clear Channel Outdoor Holdings,Media,660654463
CCOI,Cogent Communications Holdings,Diversified Telecommunication Services,3001235394
CCRD,CoreCard,Software,200562966
CCRN,Cross Country Healthcare,Health Care Providers & Services,995472042
CCS,Century Communities,Household Durables,1745311735
CCSI,Consensus Cloud Solutions,Software-Infrastructure,1084434426
CCTS,Cactus Acquisition 1,Blank Check / SPAC,157808750
CCU,"Compania Cervecerias Unidas,",Beverages,2059973627
CCV,Churchill Capital Corp V,Blank Check / SPAC,616249980
CCVI,Churchill Capital VI,Blank Check / SPAC,678960000
CCXI,ChemoCentryx,Biotechnology,1628193149
CD,Chindata Group Holdings,Information Technology Services,2582835200
CDAK,Codiak BioSciences,Biotechnology,58934015
CDAQ,Compass Digital Acquisition,Blank Check / SPAC,256744302
CDAY,Ceridian HCM Holding,Software,8146662902
CDE,Coeur Mining,Metals & Mining,786256830
CDEV,Centennial Resource Development,"Oil, Gas & Consumable Fuels",1798305785
CDLX,Cardlytics,Media,427121052
CDMO,Avid Bioservices,Biotechnology,1124154864
CDNA,CareDx,Biotechnology,1259211249
CDNS,Cadence Design Systems,Software,46233755616
CDR,Cedar Realty Trust,Equity Real Estate Investment Trusts ...,397234501
CDRE,Cadre Holdings,Aerospace & Defense,813969910
CDRO,Codere Online Luxembourg,Gambling,94756200
CDTX,Cidara Therapeutics,Biotechnology,45227423
CDW,CDW Corporation,"Electronic Equipment, Instruments & C...",23029172062
CDXC,ChromaDex,Life Sciences Tools & Services,129152390
CDXS,Codexis,Life Sciences Tools & Services,481291194
CDZI,Cadiz,Water Utilities,165003471
CE,Celanese,Chemicals,12471781350
CEA,China Eastern Airlines,Airlines,12026906607
CECE,CECO Environmental,Commercial Services & Supplies,265724172
CEG,Constellation Energy,Electric Utilities,17955377149
CEI,Camber Energy,"Oil, Gas & Consumable Fuels",162318815
CEIX,CONSOL Energy,"Oil, Gas & Consumable Fuels",2112891883
CELC,Celcuity,Biotechnology,140298807
CELH,Celsius Holdings,Beverages,6266324939
CELU,Celularity,Biotechnology,525326813
CELZ,Creative Medical Technology Holdings,Biotechnology,6360724
CEMI,Chembio Diagnostics,Health Care Equipment & Supplies,21155330
CENN,Cenntro Electric Group,Auto Manufacturers,412784480
CENQ,CENAQ Energy,Blank Check / SPAC,219914731
CENT,Central Garden & Pet Company,Household Products,2310164731
CENTA,Central Garden & Pet Company,Household Products,2298812150
CENX,Century Aluminum Company,Metals & Mining,652305918
CEPU,Central Puerto,Independent Power and Renewable Elect...,490750013
CEQP,Crestwood Equity Partners LP,"Oil, Gas & Consumable Fuels",2811785965
CERE,Cerevel Therapeutics Holdings,Biotechnology,3944487160
CERS,Cerus,Health Care Equipment & Supplies,946404283
CERT,Certara,Health Information Services,3530909691
CET,Central Securities,Asset Management,975046392
CETX,Cemtrex,"Electronic Equipment, Instruments & C...",7477160
CEVA,"CEVA, Inc.",Semiconductors & Semiconductor Equipment,818960949
CF,CF Industries Holdings,Chemicals,18832588740
CFB,CrossFirst Bankshares,Banks,676164980
CFBK,CF Bankshares,Thrifts & Mortgage Finance,134323707
CFFE,CF Acquisition VIII,Blank Check / SPAC,293148393
CFFI,C&F Financial,Banks,159823584
CFFN,Capitol Federal Financial,Thrifts & Mortgage Finance,1310791162
CFFS,CF Acquisition VII,Blank Check / SPAC,222580250
CFG,Citizens Financial Group,Banks,18690961386
CFIV,CF Acquisition IV,Blank Check / SPAC,626745019
CFLT,Confluent,Software-Infrastructure,6824946158
CFMS,Conformis,Health Care Equipment & Supplies,52476123
CFR,Cullen/Frost Bankers,Banks,8153779115
CFRX,ContraFect,Biotechnology,13683845
CFSB,CFSB Bancorp,Banks-Regional,59346924
CFVI,CF Acquisition VI,Blank Check / SPAC,382764030
CG,The Carlyle Group,Capital Markets,12690573279
CGA,China Green Agriculture,Chemicals,66778244
CGAU,Centerra Gold,Gold,1787698684
CGBD,TCG BDC,Capital Markets,685472384
CGC,Canopy Growth,Pharmaceuticals,1221318271
CGEM,Cullinan Oncology,Biotechnology,650241914
CGEN,Compugen,Life Sciences Tools & Services,157858606
CGNT,Cognyte Software,Software-Infrastructure,296915102
CGNX,Cognex,"Electronic Equipment, Instruments & C...",8419343334
CGRN,Capstone Green Energy,Specialty Industrial Machinery,26495988
CGTX,Cognition Therapeutics,Biotechnology,46551671
CHAA,Catcha Investment,Blank Check / SPAC,369749980
CHCI,Comstock Holding Companies,Household Durables,41153233
CHCO,City Holding Company,Banks,1270917999
CHCT,Community Healthcare Trust,Equity Real Estate Investment Trusts ...,943725098
CHD,Church & Dwight Company,Household Products,22854463446
CHDN,Churchill Downs,"Hotels, Restaurants & Leisure",8269405485
CHE,Chemed,Health Care Providers & Services,7671348108
CHEA,Chenghe Acquisition Co.,Blank Check / SPAC,144181239
CHEF,The Chefs' Warehouse,Food & Staples Retailing,1443261812
CHEK,Check-Cap,Health Care Equipment & Supplies,39556795
CHGG,Chegg,Diversified Consumer Services,2566999029
CHH,Choice Hotels International,"Hotels, Restaurants & Leisure",6579697643
CHK,Chesapeake Energy,"Oil, Gas & Consumable Fuels",11740538829
CHKP,Check Point Software Technologies,Software,16357595009
CHMG,Chemung Financial,Banks,212197284
CHMI,Cherry Hill Mortgage Investment,Mortgage Real Estate Investment Trust...,129652859
CHNG,Change Healthcare,Health Care Technology,7740667386
CHNR,China Natural Resources,Metals & Mining,25428769
CHPT,ChargePoint Holdings,Electrical Equipment,4488347133
CHRA,Charah Solutions,Commercial Services & Supplies,148056701
CHRD,Chord Energy,"Oil, Gas & Consumable Fuels",4999461838
CHRS,Coherus BioSciences,Biotechnology,565187900
CHRW,C.H. Robinson Worldwide,Air Freight & Logistics,12842411959
CHS,Chico's FAS,Specialty Retail,682029311
CHT,Chunghwa Telecom Co.,Diversified Telecommunication Services,30974844912
CHTR,Charter Communications,Media,80400629629
CHUY,Chuy's Holdings,"Hotels, Restaurants & Leisure",404149724
CHWA,CHW Acquisition,Blank Check / SPAC,149658750
CHWY,Chewy,Internet & Direct Marketing Retail,17560342500
CHX,ChampionX,Energy Equipment & Services,4179890159
CI,Cigna,Health Care Providers & Services,86498139898
CIA,Citizens,Insurance,199003887
CIAN,Cian PLC,Real Estate Services,237563117
CIB,Bancolombia,Banks,6913138663
CIDM,Cinedigm,Entertainment,101641447
CIEN,Ciena,Communications Equipment,7248715228
CIFR,Cipher Mining,Capital Markets,418258111
CIG,Companhia Energetica de Minas Gerais,Electric Utilities,5179365887
CIGI,Colliers International Group,Real Estate Management & Development,5288455570
CIH,China Index Holdings,Professional Services,65558415
CIIG,CIIG Capital Partners II,Blank Check / SPAC,358296894
CIM,Chimera Investment,Mortgage Real Estate Investment Trust...,2261437948
CINC,CinCor Pharma,Biotechnology,825469689
CINF,Cincinnati Financial,Insurance,18047956938
CING,Cingulate,Biotechnology,15267690
CINT,CI&T Inc.,Software-Infrastructure,1493256446
CIO,City Office REIT,Equity Real Estate Investment Trusts ...,594953076
CION,CĪON Investment,Asset Management,514903935
CIR,CIRCOR International,Machinery,316024800
CISO,Cerberus Cyber Sentinel,Software-Infrastructure,460746400
CITE,Cartica Acquisition,Blank Check / SPAC,287787510
CIVB,Civista Bancshares,Banks,345938236
CIVI,Civitas Resources,Oil & Gas E&P,4584846300
CIX,CompX International,Commercial Services & Supplies,275594382
CIXX,CI Financial,Asset Management,2169905407
CIZN,Citizens Holding Company,Banks,99743546
CJJD,China Jo-Jo Drugstores,Food & Staples Retailing,8639099
CKPT,Checkpoint Therapeutics,Biotechnology,100129040
CKX,CKX Lands,Real Estate Management & Development,22027950
CL,Colgate-Palmolive Company,Household Products,65233784777
CLAA,Colonnade Acquisition II,Blank Check / SPAC,407550009
CLAQ,CleanTech Acquisition,Blank Check / SPAC,219506250
CLAR,Clarus,Leisure Products,732579390
CLAS,Class Acceleration,Blank Check / SPAC,318909887
CLAY,Chavant Capital Acquisition,Blank Check / SPAC,100700000
CLB,Core Laboratories,Energy Equipment & Services,827824176
CLBK,Columbia Financial,Thrifts & Mortgage Finance,2495279353
CLBR,Colombier Acquisition,Blank Check / SPAC,210450000
CLBS,Caladrius Biosciences,Biotechnology,30864433
CLBT,Cellebrite DI,Software-Infrastructure,1021065343
CLDT,Chatham Lodging Trust,Equity Real Estate Investment Trusts ...,571995772
CLDX,Celldex Therapeutics,Biotechnology,1360550130
CLEU,China Liberal Education Holdings,Education & Training Services,9746704
CLF,Cleveland-Cliffs,Metals & Mining,8689644537
CLFD,Clearfield,Communications Equipment,1072256698
CLGN,CollPlant Biotechnologies,Biotechnology,76164255
CLH,Clean Harbors,Commercial Services & Supplies,5020585935
CLIM,Climate Real Impact Solutions II Acquisition,Blank Check / SPAC,297346875
CLIN,Clean Earth Acquisitions,Blank Check / SPAC,290836003
CLIR,ClearSign Technologies,"Electronic Equipment, Instruments & C...",42873894
CLLS,Cellectis,Biotechnology,121005528
CLMT,Calumet Specialty Products Partners,"Oil, Gas & Consumable Fuels",898353589
CLNE,Clean Energy Fuels,"Oil, Gas & Consumable Fuels",1225278972
CLNN,Clene,Biotechnology,251760862
CLOE,Clover Leaf Capital,Blank Check / SPAC,184287511
CLOV,"Clover Health Investments,",Health Care Providers & Services,1230743807
CLPR,Clipper Realty,Equity Real Estate Investment Trusts ...,367863608
CLPS,CLPS Incorporation,IT Services,31625286
CLPT,ClearPoint Neuro,Health Care Equipment & Supplies,313068346
CLR,Continental Resources,"Oil, Gas & Consumable Fuels",23828914127
CLRB,Cellectar BioSciences,Biotechnology,27067827
CLRC,ClimateRock,Blank Check / SPAC,98871659
CLRM,Clarim Acquisition,Blank Check / SPAC,353984375
CLRO,ClearOne,Communications Equipment,15231308
CLS,Celestica,"Electronic Equipment, Instruments & C...",1314903549
CLSD,Clearside Biomedical,Pharmaceuticals,94436128
CLSK,Cleanspark,Software,167637805
CLSN,Celsion,Biotechnology,14694389
CLST,Catalyst Bancorp,Banks-Regional,65919364
CLVR,Clever Leaves Holdings,Drug Manufacturers-Specialty & Generic,38930911
CLVS,Clovis Oncology,Biotechnology,243155535
CLVT,Clarivate,Professional Services,9630915570
CLW,Clearwater Paper,Paper & Forest Products,605413218
CLWT,Euro Tech Holdings Company,Trading Companies & Distributors,8969270
CLX,The Clorox Company,Household Products,18187532191
CLXT,Calyxt,Biotechnology,10414055
CM,Canadian Imperial Bank of Commerce,Banks,44687949819
CMA,Comerica,Banks,10327459768
CMAX,CareMax,Health Information Services,566144640
CMBM,Cambium Networks,Communications Equipment,452045043
CMC,Commercial Metals Company,Metals & Mining,4402704892
CMCA,Capitalworks Emerging Markets Acquisition,Blank Check / SPAC,288362489
CMCL,Caledonia Mining,Metals & Mining,131410944
CMCM,Cheetah Mobile,Software,105605256
CMCO,Columbus McKinnon,Machinery,886781604
CMCSA,Comcast,Media,1.90266E+11
CMCT,CIM Commercial Trust,Equity Real Estate Investment Trusts ...,165922030
CME,CME Group,Capital Markets,73487220726
CMG,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",37158395816
CMI,Cummins,Machinery,29107105594
CMLS,Cumulus Media,Media,167134525
CMMB,Chemomab Therapeutics,Biotechnology,35125860
CMP,Compass Minerals International,Metals & Mining,1215341556
CMPO,CompoSecure,Shell Companies,409600414
CMPR,Cimpress,Commercial Services & Supplies,890729827
CMPS,COMPASS Pathways,Health Care Providers & Services,633844988
CMPX,Compass Therapeutics,Biotechnology,258274189
CMRA, Comera Life Sciences Holdings,Biotechnology,32639112
CMRE,Costamare,Marine,1435254908
CMRX,Chimerix,Biotechnology,178369839
CMS,CMS Energy,Multi-Utilities,19110797295
CMT,Core Molding Technologies,Chemicals,84190228
CMTG,Claros Mortgage Trust,REIT-Mortgage,2618118637
CMTL,Comtech Telecommunications,Communications Equipment,297111229
CNA,CNA Financial,Insurance,11631059957
CNC,Centene,Health Care Providers & Services,53768658876
CNCE,Concert Pharmaceuticals,Biotechnology,205788110
CND,Concord Acquisition,Blank Check / SPAC,352872540
CNDA,Concord Acquisition II,Blank Check / SPAC,338918105
CNDB,Concord Acquisition III,Blank Check / SPAC,429956250
CNDT,Conduent,IT Services,968061883
CNET,ZW Data Action Technologies,Media,21256620
CNEY,CN Energy Group,Specialty Chemicals,59324852
CNF,CNFinance Holdings,Thrifts & Mortgage Finance,163225647
CNFR,Conifer Holdings,Insurance,16904656
CNGL,Canna-Global Acquisition,Blank Check / SPAC,270951387
CNHI,CNH Industrial,Machinery,16200776692
CNI,Canadian National Railway Company,Road & Rail,80794656663
CNK,Cinemark Holdings,Entertainment,2321052152
CNM,Core & Main,Industrial Distribution,3766782207
CNMD,CONMED,Health Care Equipment & Supplies,3028481717
CNNB,Cincinnati Bancorp,Banks-Regional,43538799
CNNE,Cannae Holdings,Diversified Financial Services,1717001459
CNO,CNO Financial Group,Insurance,2126563186
CNOB,ConnectOne Bancorp,Banks,977833655
CNP,CenterPoint Energy,Multi-Utilities,18946416615
CNQ,Canadian Natural Resources,"Oil, Gas & Consumable Fuels",59654733811
CNS,Cohen & Steers,Capital Markets,3394895838
CNSL,Consolidated Communications Holdings,Diversified Telecommunication Services,739688315
CNSP,CNS Pharmaceuticals,Pharmaceuticals,9207475
CNTA,Centessa Pharmaceuticals,Biotechnology,426005757
CNTB,Connect Biopharma Holdings,Biotechnology,45129459
CNTG,Centogene,Biotechnology,43059744
CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,160338750
CNTX,Context Therapeutics,Pharmaceuticals,30495249
CNTY,Century Casinos,"Hotels, Restaurants & Leisure",239406411
CNVY,Convey Holding Parent,Health Information Services,765611321
CNX,CNX Resources,"Oil, Gas & Consumable Fuels",3736813043
CNXC,Concentrix,IT Services,6831881646
CNXN,PC Connection,"Electronic Equipment, Instruments & C...",1206705888
CO,Global Cord Blood,Health Care Providers & Services,308739519
COCO,The Vita Coco Company,Beverages-Non-Alcoholic,667148412
COCP,Cocrystal Pharma,Pharmaceuticals,40936980
CODA,Coda Octopus Group,"Electronic Equipment, Instruments & C...",52879916
CODI,Compass Diversified Holdings,Diversified Financial Services,1591505518
CODX,Co-Diagnostics,Health Care Equipment & Supplies,204712860
COE,China Online Education Group,Diversified Consumer Services,34076462
COF,Capital One Financial,Consumer Finance,42574934000
COFS,ChoiceOne Financial Services,Banks,153617139
COGT,Cogent Biosciences,Biotechnology,716201526
COHN,Cohen & Company,Capital Markets,16820580
COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment,1383645806
COIN,Coinbase Global,Capital Markets,17565632463
COKE,Coca-Cola Consolidated,Beverages,4631633471
COLB,Columbia Banking System,Banks,2298877923
COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,8418086381
COLI,Colicity,Blank Check / SPAC,424350009
COLL,Collegium Pharmaceutical,Pharmaceuticals,594872500
COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods",4731506113
COMM,CommScope Holding Company,Communications Equipment,1624926200
COMP,Compass,Software-Application,1549886717
COMS,ComSovereign Holding,Telecom Services,10887077
CONN,Conn's,Specialty Retail,225271422
CONX,CONX Corp.,Blank Check / SPAC,929359800
COO,The Cooper Companies,Health Care Equipment & Supplies,15477353414
COOK,Traeger,"Furnishings, Fixtures & Appliances",386553246
COOL,Corner Growth Acquisition,Blank Check / SPAC,494999960
COOP,Mr. Cooper Group,Thrifts & Mortgage Finance,3029411039
COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",1.19062E+11
CORR,CorEnergy Infrastructure Trust,Equity Real Estate Investment Trusts ...,35356344
CORS,Corsair Partnering,Blank Check / SPAC,290603774
CORT,Corcept Therapeutics,Pharmaceuticals,2823089149
CORZ,Core Scientific,Software-Infrastructure,651955838
COSM,Cosmos Holdings,Health Care Providers & Services,6971029
COST,Costco Wholesale,Food & Staples Retailing,2.34389E+11
COTY,Coty Inc.,Personal Products,6570865146
COUP,Coupa Software,Software,4969731558
COUR,Coursera,Education & Training Services,2391246832
COVA,COVA Acquisition,Blank Check / SPAC,369375000
COWN,Cowen,Capital Markets,905664486
CP,Canadian Pacific Railway,Road & Rail,69796265953
CPA,Copa Holdings,Airlines,2710314694
CPAA,Conyers Park III Acquisition,Blank Check / SPAC,433308730
CPAC,Cementos Pacasmayo,Construction Materials,437525359
CPAQ,Counter Press Acquisition,Blank Check / SPAC,72299341
CPAR,Catalyst Partners Acquisition,Blank Check / SPAC,440586749
CPB,Campbell Soup Company,Food Products,14610999262
CPE,Callon Petroleum Company,"Oil, Gas & Consumable Fuels",2655745760
CPF,Central Pacific Financial,Banks,634517930
CPG,Crescent Point Energy,"Oil, Gas & Consumable Fuels",4164716029
CPHC,Canterbury Park Holding,"Hotels, Restaurants & Leisure",99883152
CPHI,China Pharma Holdings,Pharmaceuticals,10563210
CPIX,Cumberland Pharmaceuticals,Pharmaceuticals,36177922
CPK,Chesapeake Utilities,Gas Utilities,2299940031
CPLP,Capital Product Partners,"Oil, Gas & Consumable Fuels",293194289
CPNG,Coupang,Internet & Direct Marketing Retail,31318380531
CPOP,Pop Culture Group ,Entertainment,36315500
CPRI,Capri Holdings,"Textiles, Apparel & Luxury Goods",6914810860
CPRT,Copart,Commercial Services & Supplies,28722780116
CPRX,Catalyst Pharmaceuticals,Biotechnology,1019577600
CPS,Cooper-Standard Holdings,Auto Components,84631984
CPSH,CPS Technologies,"Electronic Equipment, Instruments & C...",52954430
CPSI,Computer Programs & Systems,Health Care Technology,489272298
CPSS,Consumer Portfolio Services,Consumer Finance,265431612
CPT,Camden Property Trust,Equity Real Estate Investment Trusts ...,14470878121
CPTK,Crown PropTech Acquisitions,Blank Check / SPAC,339825019
CPTN,Cepton,Software-Application,206424320
CPUH,Compute Health Acquisition,Blank Check / SPAC,1063026300
CQP,Cheniere Energy Partners LP,"Oil, Gas & Consumable Fuels",23552753625
CR,Crane Co.,Machinery,5310099907
CRAI,CRA International,Professional Services,683128437
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,35221987
CRBU,Caribou Biosciences,Biotechnology,455897561
CRC,California Resources,"Oil, Gas & Consumable Fuels",3218572760
CRCT,Cricut,Computer Hardware,1572682494
CRD.A,Crawford & Company,Insurance Brokers,350609854
CRD.B,Crawford & Company,Insurance Brokers,350830473
CRDF,Cardiff Oncology,Biotechnology,94407302
CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty & Generic,81125680
CRDO,Credo Technology Group Holding,Communication Equipment,1694244605
CREC,Crescera Capital Acquisition,Blank Check / SPAC,267528010
CREG,China Recycling Energy,Commercial Services & Supplies,22079742
CRESY,Cresud SACIF y A.,Real Estate Management & Development,294268223
CREX,Creative Realities,Media,13584969
CRGE,Charge Enterprises,Information Technology Services,610129662
CRGY,Crescent Energy Company,Oil & Gas E&P,2349145343
CRH,CRH Plc,Construction Materials,27555262463
CRHC,Cohn Robbins Holdings,Shell Companies,1031895039
CRI,Carter's,"Textiles, Apparel & Luxury Goods",3179813072
CRIS,Curis,Biotechnology,104475751
CRK,Comstock Resources,"Oil, Gas & Consumable Fuels",3472628474
CRKN,Crown ElectroKinetics,Specialty Chemicals,13478563
CRL,Charles River Laboratories International,Life Sciences Tools & Services,11955409773
CRM,Salesforce.com,Software,1.76404E+11
CRMD,CorMedix,Pharmaceuticals,214004445
CRMT,America's Car-Mart,Specialty Retail,660081057
CRNC,Cerence,Software,1045130559
CRNT,Ceragon Networks,Communications Equipment,218485519
CRNX,Crinetics Pharmaceuticals,Biotechnology,1043363061
CRON,Cronos Group,Pharmaceuticals,1146781693
CROX,Crocs,"Textiles, Apparel & Luxury Goods",3748698358
CRS,Carpenter Technology,Metals & Mining,1398148198
CRSP,CRISPR Therapeutics AG,Biotechnology,5925468609
CRSR,Corsair Gaming,"Technology Hardware, Storage & Periph...",1317472757
CRT,Cross Timbers Royalty Trust,"Oil, Gas & Consumable Fuels",106979999
CRTD,Creatd,Internet Content & Information,17136765
CRTO,Criteo,Media,1428609903
CRTX,Cortexyme,Biotechnology,71940095
CRU,Crucible Acquisition,Blank Check / SPAC,318909848
CRUS,Cirrus Logic,Semiconductors & Semiconductor Equipment,4455710160
CRVL,CorVel,Health Care Providers & Services,2760572857
CRVS,Corvus Pharmaceuticals,Biotechnology,43760287
CRWD,CrowdStrike Holdings,Software,42380988274
CRWS,Crown Crafts,"Textiles, Apparel & Luxury Goods",65872052
CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,15788281
CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,249908778
CS,Credit Suisse Group AG,Capital Markets,14416192509
CSBR,Champions Oncology,Life Sciences Tools & Services,115210848
CSCO,Cisco Systems,Communications Equipment,1.8361E+11
CSCW,Color Star Technology Co.,Entertainment,25064473
CSGP,CoStar Group,Professional Services,24403496949
CSGS,CSG Systems International,IT Services,2048453321
CSII,Cardiovascular Systems,Health Care Equipment & Supplies,648483058
CSIQ,Canadian Solar,Semiconductors & Semiconductor Equipment,2156218105
CSL,Carlisle Companies,Industrial Conglomerates,13821594509
CSLM,Consilium Acquisition Corp I,Blank Check / SPAC,232918606
CSPI,CSP Inc.,IT Services,37489315
CSR,Centerspace,"Electronic Equipment, Instruments & C...",1350871405
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,139839854
CSTA,Constellation Acquisition I,Blank Check / SPAC,382074970
CSTE,Caesarstone,Building Products,318903000
CSTL,Castle Biosciences,Biotechnology,678319021
CSTM,Constellium SE,Metals & Mining,2045815677
CSTR,CapStar Financial Holdings,Banks,451251765
CSV,Carriage Services,Diversified Consumer Services,638891238
CSWC,Capital Southwest,Capital Markets,499092730
CSWI,CSW Industrials,Building Products,1740971955
CSX,CSX Corporation,Road & Rail,67127877605
CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,505979519
